Protein IDs,Symbols,log2FC,adj.pvalue
F6IQL9;Q29963;Q5QT33;A6Q0R5;B2G4X0;I2GAE0;F6IQG9;F6IQH1;F6IQH3;F6IQH7;F6IQI0;F6IQI1;F6IQI2;F6IQI7;F6IQI8;F6IQJ0;F6IQJ5;F6IQM2;E0Z0E2;Q9MY41;D9UAZ6;O19657;Q29866;D9UC06;E0WN40;E1Y6M5;G4V594;H2ALZ9;N1NT51;S5DHP0;S5DHP3;S5DHQ1;S5DI24;S5DLE2;S5DLE7;S5DN50;S5DN61;S5DTZ5;S5DTZ7;S5I324;E3UPC4;D3XQC3;Q29865;F6IQH2;F6IQH4;F6IQH5;F6IQH8;F6IQH9;F6IQI3;F6IQJ1;F6IQJ2;F6IQJ3;F6IQJ4;F6IQH6;F6IQI4;F6IQI6;F6IQI5;Q1XDY2;C1K9J3;E1Y7F9;R4S840;S5DI19;S5DN56;D7GNM6;S5DI14;D1J6P9;A4H284;C1KC12;C5IYE7;C9E8V9;C9E8W0;O78179;P30508;Q1M2U3;Q546I6;Q6IUU7;C1K0Y4;D9UB03;P30510;Q2L6G3;Q9MY34;B1GYE6;Q96FQ5;A7MAP5;H9TV73;F6IQH0;F6IQI9;F6IQJ6;F6IQP0;F6IQP2;F6IQP3;F6IQP4;F6IQP5;F6IQP6;F6IQP7;F6IQP8;F6IQP9;F6IQQ0;F6IQQ1;F6IQQ2;F6IQQ3;F6IQQ4;F6IQQ5;S4VFS7;I7II55;Q6A3P4;A7LB40;Q6ZYB9;C6KF33;C7C6F5;D4P942;E0WMT8;E1CJE3;E1Y6P5;E7BBA4;E9ABX8;F4NC92;G0WJF2;G0WJF3;H2ALZ7;H6SSQ4;H8XBU0;I2GUK8;I7GSS2;K4ULG4;K8ESP8;M5ETC5;Q2UV93;R4RWV9;R9RFL1;R9RIA8;S5DHS4;S5DHS8;S5DI47;S5DLI1;S5DN96;S5DU24;S5DU27;S5TLC0;T2B9H9;E1CJE0;E1CJE1;E3Q1I8;E9ABI5;F2XI60;F2XI61;F2XI62;F4ZZU9;F5A502;G3CCB6;G9MDC7;I7H475;Q4U0W2;Q5R1M3;R4RUH6;R4RWV3;R4S809;S5DHT3;S5DI50;S5DLI6;S5DNA0;S5DU29;S6AVS1;Q29645;A2BF26;Q2UVJ3;Q6R743;C0LNY0;C1K0X3;C1K0X4;C1K0X5;C1K0Y1;D3K0R1;D9UAZ9;H8XVX3;I3ZN89;K0P2X1;M4QNN1;P30505;Q52QV3;Q53X46;Q546I7;Q5RIP0;Q9TNN7;C5IYE4;D3K0R0;T2FEC7;A9X165;C3VIR6;Q0PHP6;Q29960;C4PKH3;A6Q0R4;A6YS07;B0BKZ5;E3WHS6;G9MCL5;I4EPA6;E1CJE7;F6IQG7;F6IQG8;F6IQM3;F6IQM4;F6IQM5;F6IQM6;F6IQM7;F6IQM8;F6IQM9;F6IQN0;F6IQN2;F6IQN4;F6IQN5;F6IQN6;F6IQN7;F6IQN8;F6IQN9;F6IQR8;A9JPG2;Q8SNA8;T2ETK5;K7DVA1;F2XI58;G9AYK7;B8Y4R9;C0L0E6;C7E2U5;M1XGM5;O19655;D9UAZ5;E3Q0Q8;B5AH69;B6VPZ4;C6H0N1;C7C5U0;C7EY82;C8CBY7;D3HUM0;D6CIE7;E0WMM8;E0WN25;E1CJE5;E3Q0Y4;E3Q1I3;E9ABI4;F1C8N6;F2XI59;F4ZZU8;G4V595;G9MCL4;I7H542;I7HDU6;L7UZX8;M5DCF8;N1NRY1;R4RUI3;S5DHR6;S5DHR9;S5DI37;S5DI40;S5DI43;S5DLD6;S5DLG6;S5DLH0;S5DLH6;S5DN86;S5DTZ1;S5DU16;E0WN24;G8GJC2;G9MD21;H9BB17;R4S4F9;R4S834;R9RH52;S6B8N5;T2AUC3;T2DLL9;E0WMN0;G8GW80;C1K0Y5;C5IYE6;Q07000;C7FFM0;D3VN25;F6IQQ6;F6IQQ7;F6IQQ8;F6IQQ9;F6IQR0;F6IQR1;F6IQR3;F6IQR5;F6IQR6;F6IQR7;G9HXH5;D2KMV9;E0WMY8;E0WN49;E3Q0Y5;E3Q1I1;G0UDG4;G4V596;G8G137;G9G7Y5;I1V1X0;Q2UV92;Q5R1M1;R4RUJ2;R4S846;S5DHT7;S5DHU0;S5DI53;S5DI56;S5DLJ1;S5DLJ6;S5DNA5;S5DU33;F5CR31;K4UNA5;Q09GE6;Q95HN1;Q9GJF2;D7GN69;F4MKW1;I4IY68;P30504;Q29954;Q5D1W7;Q5D1W8;C1KGA3;A7MAP6;B2G4X1;B9WPQ7;I2GAE1;F6IQF4;F6IQF2;F6IQF3;F6IQF5;F6IQF7;F6IQF8;F6IQG2;F6IQG3;F6IQN3;D0F1S2;Q707T7;Q707T8;Q8HWE9;A6H582;I1XV05;D7GM41;S5DLC4;F2QL94;M1XJE8;O78164;I7LL27;C5J3U3;C7EW72;D7GMU9;D8MIV9;E1XUP5;E3Q0Y0;E3Q0Y1;F5A503;G9G816;G9MD22;M1T1C2;M5EF61;N1NT57;Q5R1M2;S5DHN5;S5DI10;S5DN45;S5S0F8;S5DN81;E0WMP8;Q5UGI4;S4VCD5;C7EXL7;C5IWY5;P01893;F6IQF6;F6IQF9;F6IQG0;F6IQG1;F6IQG4;F6IQG5;F6IQG6;A8YQF4;F6IR31;Q29958;K7W4U9;I2GUK6;B2ZRD4;F2XI28;M4R8V2;M4RCG9;M4TCH1;F5CR33;Q2L6I5;A8K8M6;P13747;Q6DU44;Q6DU50;S5RFZ0;Q59EE1;Q29939;B4DQ91;E2G051;I3RW89;B4DVK7,HLA-C;HLA-E;HLA-H,-1.69600004019196,1.54749e-5
B1AHB0;P33992;Q53FG5;A8K521;B1AHB1;B4DQ39;B3KVF0;B4DVK5;Q59F49;B1AHA9;B1AHB2;F8WFD7,MCM5,-1.40571411438065,0.000143666
B4DWW4;B2R7C5;P25205;Q53HJ4;Q8NHX6;B4DUQ9;J3KQ69;B4DS46;Q7Z6P5,MCM3,-1.95172414292499,8.26137e-8
Q96EK6;G3V4W4;G3V5E4,GNPNAT1,-1.74747302438708,0.000102592
A6NFQ2;H0YC74;Q8N1I1,FAM115C,-1.52878169237002,0.00760867
Q9UGR2,ZC3H7B,-0.90194661107699,0.0392429
P33897;Q6TGM0;Q6TGM1;H0Y7L9,ABCD1,-1.11461476679549,0.0432209
D3DQ48;Q9BXS4;Q6P5R1;Q5T6Z8;Q5T704;Q5T703;Q5T706,TMEM59,-1.21105967566507,0.00117068
P51511;Q7KZY0;H3BT97,MMP15,-1.56160647907575,0.000422134
R4GN18,CD46,-0.98024812974519,0.00378822
