Protein IDs,Symbols,log2FC,adj.pvalue
A2RRC9;Q86VI3;F2Z2E2,IQGAP3,-0.67006900830939,0.14697
P78552;Q96BB4;Q9UDY5;Q59EG2,IL13RA1,-0.68870479253094,0.175133
B4DXC4;F5H6I7,ATL3,-0.95928666543913,0.00265805
Q13443;A0AVL1;F8WC54;B4DDM8,ADAM9,-0.92481676039725,0.0344564
O95881,TXNDC12,-0.96337877513761,0.0384147
Q4KWH8,PLCH1,-0.77231871669176,0.0537189
Q15904;Q9H0C7;B3KR70;Q8NBT4;Q8NF19;A6QRJ1;B4DWM8;A6NLC6;H7C2Y8;F2Z3L8;H7C0T7,ATP6AP1,-0.93855080718252,0.0330235
Q14118;B4DN78;C9JQL4;C9J196;C9JYS1,DAG1,-0.89151220668227,0.0329004
Q15527,SURF2,-0.97802322802072,0.0705964
B2R841;P53350;Q59GD0;B4E083;D3DWF3;I3L2H5;Q58A51;I3L387;I3L309,PLK1,-0.58786489709175,0.135747
A8KA27;B2R649;P04035;B4DSB1;H0Y8K6;H0Y8F6,HMGCR,-0.62802060833058,0.194483
P37268;Q6IAX1;E9PNM1;B4DND3;B4DJE5;B7Z1J3;B7Z9R8;B4DT56;B3KQ95;B4DTK0;B4DWP0;E9PJG4;E9PS69;E9PSH1;E9PNJ2;E9PQ90,FDFT1,-1.18330696227161,0.00154273
Q5SPY9;Q8WXX4;Q9NQX5;Q8NCE1,NPDC1,-0.73452871819767,0.0941754
B1AHL2;F8W7M9;P23142;B4DUV1;Q8NBH6;B1AHL4;B1AHM9;H7C1M6;B1AHM7,FBLN1,-1.58967942400779,0.00570722
Q8NCF5;B7Z8Y9;H3BSZ7;B7Z987,NFATC2IP,-0.60836660492655,0.186877
O76003,GLRX3,-0.56143416554423,0.197829
Q96QD8;A8K6H9;F8VUY8;B4DEZ2;F8VQW8,SLC38A2,-0.64697065093468,0.169229
B4DWN9;Q96S99;K7ELB8;K7EIX0,PLEKHF1,-0.75067821520481,0.0603982
H0YMA4;Q15004;H0YKX3;G9G6D7,KIAA0101,-1.64010051681079,0.00447023
P49407;J3KPP7;A8K103;E9PM35;H0YET9,ARRB1,-0.84581907714471,0.067542
P07305,H1F0,-1.92332503776979,7.80616e-7
Q496C9;Q8TEA8,DTD1,-1.13857809317526,0.0146546
Q6DD88;C9JUU1;F5GWF8,ATL3,-1.22591241116313,0.00265805
Q9HCM4;Q4ZG32,EPB41L5,-0.95271813910911,0.0405815
Q9NW97,TMEM51,-0.65601847354935,0.191967
P40306;Q6IB22;J3QQN1;J3QL48,PSMB10,-1.21855749714309,0.00281332
B3KRM2;P62714;Q5U0I7;Q8WZ56;B3KQ51;E5RHC1;E7ESG8;H0YC23;E5RHP4;E5RFI3;B7Z2C5;H0YBN9;E5RJX4,CDKL3;PPP2CA;PPP2CB,-1.31499769423557,0.00129977
A8K3M4;Q13145;Q53G66;Q9NXZ6,BAMBI,-0.50384367741629,0.196223
Q9UPS8;A1L497;E7ESJ3,ANKRD26,-1.21692815133456,0.0143599
Q59EV6;B4E324;P10619;Q5JZH0;Q5JZG9,CTSA,-0.53643825157094,0.161801
G8XV63;P57076;Q53FH0;C9J818;F8VZ95;D3DSE6;Q96NJ2;B4DV81;F5GXV2;C9JX57;H7BZW1;Q9NX33;H7C2R6;Q8N9H5,C21orf59,-0.81632442825787,0.0420085
Q9UJY1;H0YG30,HSPB8,-0.99700633138829,0.0297907
Q99685;B2ZGL7;E7EWX8;Q2VYF8;H7C4E0;H7C599;C9JAM4;H7C5K5;C9J8Q3,MGLL,-0.90143763416542,0.0506012
J3KMZ9;P01130;Q9UH51;H0YMD1;H0YM92;H0YMQ3;E2J5K4;E1B4S5,LDLR,-0.93802875360675,0.0238341
Q99500,S1PR3,-0.94325780986004,0.0606603
B2R761;P22307;H0YF61;B4E0J3;Q59HG9;E9PLD1;H0YCB0;H0YD06,SCP2,-0.84148875376701,0.0457948
Q6IA17;C9JFX4;E9PLG6;H0YDF8;H0YDR5,SIGIRR,-0.84939088639582,0.079914
Q16625;A8K3T2,OCLN,-0.56713140699943,0.193425
Q15758;Q71UA6;Q59ES3;M0QXM4;B4DE27;M0QX44;M0R144,SLC1A5,-0.69858738190314,0.107717
A5YM69,ARHGEF35,1.48760465658048,0.000567303
Q96ST2;B4DL52;B4DGM5,IWS1,-1.13156889622943,0.0103575
Q9NTJ3;B3KXX5;E9PD53;B3KVJ5;Q58F29;Q6NSG3;C9JR83;Q6P169;C9IYK2;C9JWF0;C9J9E4;C9J578;C9JVD8,SMC4,-0.99281785897279,0.0160021
Q5JYS9;Q15147,PLCB4,-0.71484828272773,0.12239
B3KQV7;Q99808,SLC29A1,-0.66864540796475,0.147856
Q9UBC3;B3KM53,DNMT3B,-0.68419519248227,0.177382
Q9HBI1;B0QYP8,PARVB,-1.44947356588822,0.0109273
P14868;D3DP78;Q68CR9;Q53T60;Q53R85;C9JLC1;C9J7S3;H7BZ35;H7C278;C9JQM9,DARS,-0.9874063933599,0.00913475
B2R8G6;B7Z6M0;J3KQ73;Q14318;U3KQ64;M0R2K9;U3KQI1,FKBP8,-1.04896462519691,0.00441814
P13797;B4DPW9;Q53GY0;B4DGB4;F8W8D8;B7Z6M1;Q96HI1;B4DI60;H7C4N2;B4DPU6;U3KQI3;A7E2S2;U3KQL8;P13796;Q53FI1;Q59GX5;Q5TBN3;B3KUI1;F2Z2Z9,LCP1;PLS3,-1.08055180706239,0.00810378
Q14739;C9JXK0;B4E0Z3;H7C108;C9JES9,LBR,-0.83065025220583,0.0578723
P16402,HIST1H1D,-1.52889399494595,0.000440806
B2RA50;Q9Y5R8;I3L3S0,TRAPPC1,0.83354193379299,0.0552728
Q5EB52;A4D1L9;C9JW74;B4DQW6;C9JSW2;C9JWU9;R4GN52;C9JCM6;C9JRA9,MEST,-0.95098661877495,0.0186298
Q6NTG0;Q15599;H3BQS0;H3BN50;H3BUQ9;H3BMF5,SLC9A3R2,-0.7143373455261,0.145454
Q15126;Q6FGV9,PMVK,-1.0329487520025,0.0118039
Q14451;B4DGJ2;J3QL76,GRB7,-0.58080414726304,0.197716
P56557;F8WDH1;Q2V8N0;C9K0I4;F8WBF4,TMEM50B,-0.94475531366991,0.0602833
A8KA76;Q9BYX4;Q53TP4;Q53TB6,IFIH1,-0.67292043021729,0.156641
Q9UN70,PCDHGC3,-0.69915595657685,0.142556
Q9Y5S5;Q07864;Q9Y5S4;F5H1D6;Q9UNF3;D3DXI9;Q96IE1;B3KS74;Q8WU23;Q9H736;F5H7E4,POLE,-0.9819382780241,0.05156
Q9UNE7;H3BS86;H3BUD0;H3BTA3,STUB1,-0.78842867233623,0.0639068
O14828;Q6FHJ5,SCAMP3,-1.03765497393013,0.0234711
Q86U75;Q9HCN8,SDF2L1,-0.71644612876646,0.00378822
P49327;Q6PJJ3;J3KTF0,FASN,-1.15321874872467,0.0020662
A2BEK1;O60927;Q5SRK2,PPP1R11,-0.74956540334832,0.118307
A8K9V9;Q96KN1,FAM84B,-0.94310814493529,0.0322043
O43291;Q6LEU8;K7EM91;K7EKQ0;K7ESI5;K7ES27;K7EKC8,SPINT2,-0.84609889968176,0.0275687
B2RBE0;O95573;B3KN05;Q6PIM8;H7C260;H7BYZ7;F5GWH2;B4DH39;F5H062,ACSL3,-0.85613837623259,0.0416504
A8K5I0;P08107;Q59EJ3;B4DNT8;B4DWK5;B4DI39;B4DFN9;B4E388;B4E1S9;E7EP94;B4DVU9;B3KTT5;B4DNX1;B4E1T6;B4DNV4;Q9UQC1,HSPA1A;HSPA1B,-0.69593699222774,0.0760052
Q8TEY5;Q5T4K9;B4DMZ9;B4E2G3;Q5T4L2;Q5T4L1,CREB3L4,-0.67385146153204,0.144744
P05067;E9PG40;B4DGD0;B4DQM1;B4DJT9;E9PEV0;H7C0V9;B4DM00;B4DMD5;H7C104;B7Z313;H7C2L2,APP,-0.7167659104459,0.097307
B4E040;P11234;Q6ZS74;C9J6B1;C9JQB3;B4E364;C9JYR1;F8WEQ6,RALB,-0.61371653086281,0.168332
Q6ZWJ1;E7EPP7;Q08AL9;B5MCT9,STXBP4,-1.02215863760696,0.0281841
Q15942;H0Y2Y8;Q96AF9;Q9BUS0;B4DY85;Q28617;B4DQR8;B4DQX7;C9IZ41;H7C3D3;C9JJK5;H7C3R3,ZYX,-0.94333264814515,0.0229533
Q59HG1;O95239;Q6PKB2;B4DYE2;Q2VIQ3;B3KNC0,KIF4A;KIF4B,-0.81392775369425,0.0793733
Q15036;B4DTB8;B4DQ37;B4DE48;B4DLL7;B4DUG8;B4DDM3;B7ZAQ8;F8WAZ0;F8WEG6;F8WFA0,SNX17,-0.82099223757232,0.0764786
J3KPA3;B1AKJ6;Q96SU4;B7Z4Q6;E9PJW9;B3KW33;H0YE19;Q9BRN2;Q59HA8;E9PNR1;E9PK98;E9PJ80;H0YCW0;E9PKX6,OSBPL9,-0.52155658030019,0.174704
P16403,HIST1H1C,-1.45565168463055,6.46399e-5
Q9GZN8;H7BYU9,C20orf27,-0.73026115177024,0.0957738
A8MXZ4;Q9NQ84;Q9NXI0;J9JIE0,GPRC5C,-0.6674086354579,0.127272
P33316;H0YNW5;H0YKC5;H0YKI0;H0YMM5;H0YMP1,DUT,-1.60996950063715,4.35357e-5
Q96L92;H7C603,SNX27,-0.71708576302251,0.0562172
Q9Y383;B3KSL5;B3KRR1;B3KSP8,LUC7L2,-1.13122785372659,0.00534676
B7WPA5;Q96CS7;B4DJB7,PLEKHB2,-0.6539348935682,0.156756
O95359;E9PBC6;E7EMZ9;B7ZMJ9;B2RWP4;Q4VXL8;D6RAA5;Q4VXL4;H0Y9C3;E9PGB3;H0Y911;B7Z396;H0Y9Y7,TACC2,-1.10839189441565,0.00640859
Q9Y547;A6NIR2,HSPB11,-0.72645686310525,0.0974803
Q86Y56;H0Y650;B3KU91;B3KPE2;B3KNN3;E9PGY2;H7C3B1,HEATR2,-0.7497617195495,0.0873897
Q01664;Q6FHM5;Q59GG3,TFAP4,-0.71318839799453,0.163262
Q59HH3;P22102;Q3B7A7;B4DJ93;Q15374;F8WD69;C9JTV6;C9JBJ1;C9JKQ7;C9JZG2;O14660;Q71VH3;H7C366,GART,-0.93185304658779,0.0143475
Q9UNS1;B4DL70;E7EWS5;B3KMU4;Q6MZN3,TIMELESS,-1.29451858966424,0.00945093
Q9UQ80;Q6PIN5;A8K6Y1;Q05D08;F8VR77;F8W0A3;H0YIN7;F8VZ69,PA2G4,-0.98895045626845,0.00901356
A4D275;O15143;C9J6C8;C9JFG9;C9JQM8;C9JEY1;C9J4Z7;C9K057;C9JBJ7;C9JTT6;F8WEB3;C9JM51;F8VXW2,ARPC1B,-0.9634546645167,0.0360409
A8K4T8;Q15003;E9PHA2;B4DRG7;C9J470;B4E189;C9JZP1,NCAPH,-1.08203411273169,0.0202792
O60566,BUB1B,-1.50870831393586,0.000237513
Q05639;Q59GP5,EEF1A2,-0.93148185893533,0.0143931
Q86TX8;P49356,CHURC1-FNTB;FNTB,-0.70479062566552,0.150335
P18827;B4DRQ9;H7C1K4;E9PHH3;Q53H42,SDC1,-0.90412997683835,0.0147914
A8K3Q3;Q8NBZ7;B3KV61;B4E3U7;C9JE50;C9JCB7,UXS1,-0.68051030520387,0.16339
B4DW92;Q86WQ0;U3KQ53;F5H0B6,NR2C2AP,-0.59190680069668,0.198796
A4D1U5;Q53H12;B4E2Z8;E9PC15;B4DR72;E9PG39,AGK,-0.71255048896358,0.0996348
C9J837;B9A6J2;Q15042;A6H8Z3;D3DP75,RAB3GAP1,-0.80356528374797,0.0833069
H3BRJ5;Q8IWR1;F5GZP3;Q7Z3C3;C9IY67;C9J614;C9JE08;C9IZE0;C9J9F0,TRIM59,-0.66358136469527,0.172961
P50053;Q53G56;C9JDL1,KHK,-0.79469380038176,0.0994657
B5MCA4;P16422;C9JKY3,EPCAM,-0.7909853307283,0.0885534
P35052;H7C410;H7C024;Q59GI7;B3KTD1;H7BZL4;H7BZE9;Q53EX3;C9J4Y6,GPC1,-0.88294592101169,0.0574054
B2R6S9;P30533;A8K8F6,LRPAP1,-0.65222126077245,0.168449
Q15057;H7C3K3;H7C3Q8;C9J8L1,ACAP2,-0.68857933533351,0.115861
Q9BUP3;E9PI87,HTATIP2,-0.6331422157507,0.170035
Q96DT7,ZBTB10,-0.89317375694932,0.0666169
B4DE53;I3L439;C9J1U4;I3L163;I3L500;I3L0V3;I3L143;I3L131;I3L3H4;I3L4D2;I3L1S3,TBCD,1.23770067167546,0.013147
Q8NFF5;Q5T196;B3KQW9;Q5T190;Q5T191,FLAD1,-0.76648079252583,0.0995156
O95210;B3KMK8;B4DK68,FAM47E-STBD1;STBD1,-0.92858986821622,0.0337125
P23786;Q53G79,CPT2,-0.65350629450781,0.137318
P48163;A8K168;B4DZ70;B4DX99;F5H4W0;Q8WVX2,ME1,-0.64271096111568,0.172291
Q7L2E3;H7BXY3;Q6W6M7,DHX30,-0.82684831774473,0.0743066
Q6NUR1;Q9BPX3;H0Y9Z8;D6RA93,NCAPG,-1.10035877094477,0.00277329
Q96DC7;B4DWF1;E7ESN7,TMCO6,-0.81557075856867,0.120128
Q16763;Q2QD04;Q6NXQ4;K7EPJ1,UBE2S,-1.04325861280632,0.0561167
Q9Y303;H3BQ15;H3BTE3;B4DUQ4;H3BSD5,AMDHD2,-0.81119356346832,0.0432443
O95415;F5GXW6,BRI3,-0.8748583622097,0.0298257
O14976;E9PGR2;B4DS37;Q5U4P5;Q59HA5;Q6P490;Q86U72;B3KUQ6;D6RAW3;H0Y8H5;Q6ZMW6;Q3B835;H0YA39;D6RE78;D6RAQ7;H0Y9M4;D6RF16,GAK,-0.69902958728312,0.110565
D3DR37;Q53EZ4;H0Y432,CEP55,-0.66117907963261,0.163235
Q9H7B4;B3KN46;A8MXR1,SMYD3,-0.93765597382098,0.0809715
Q8IY18,SMC5,-0.83293623142991,0.0253273
P56159;B7Z856,GFRA1,-0.72742310454576,0.138922
O76024;H0Y9G5,WFS1,-0.8919454701244,0.0748061
P23921;B4DNN4;Q53GZ5;B4E0I8;E9PD78;B4DXB0;E9PL69;B4DS95;B4DXD1;F5H861;H0YCY7;E9PP77,RRM1,-1.04157523459846,0.0229316
H7C5E2;E9PAJ1;Q9UHQ4;A4D0R4;C9JTE9;C9IYK6;H0Y7N8;A6NME1;B7Z2L0;F8WB99;C9JGJ9,BCAP29,-0.65136520706536,0.100507
Q04917;B2R6N6;Q9H4N8;A2IDB2;A2IDB1;F8WEB6,YWHAH,-0.91172466355365,0.0286515
Q6ZRP7;B3KY64;H0Y430,QSOX2,-0.6467878346079,0.161197
Q12830;E7ETD6;F5GXF5;B4DM40;B4DDK2;F5H176;B4DJV8;E9PE19;J3KSK9;Q9H5E0;J3QQK4,BPTF,-0.8191370344922,0.0993376
Q5T0D9;B4DPH8,TPRG1L,-0.58681234716115,0.183006
Q70J99;B4DTQ6;K7EN29;K7EN81;K7EQ37;K7EMK8;K7EIH3,UNC13D,-0.76714300452721,0.0552677
Q15645;H0YAL2,TRIP13,-0.50229927211721,0.192664
A7BI36;Q9P2E9;A1A5C5;F8W7S5;B3KSG1;Q32NB1;Q05DK7;A2A2S5;E9PN67;Q5XUU0;F8W6D3,NIN;RRBP1,-0.95611191870492,0.0209418
Q9BT25,HAUS8,-1.08607701131999,0.0480389
Q13907;C9JKM8;C9JD53;Q9BXS1,IDI1;IDI2,-0.91033418454694,0.048252
P12004;Q6FI35;Q6FHF5;B4DUA2;Q7Z6A2;Q7Z6A1;Q7Z6A3,PCNA,-0.8851006984324,0.0206257
A4D1U3;Q04837;Q567R6;B7Z268;E7EUY5;C9K0U8,SSBP1,-0.71114808116052,0.100477
D6W4Z6;P31350;B3KS26;C9JXC1;Q8N6S3;Q9UKM0,RRM2,-1.5411876830211,0.000640374
Q8TD16,BICD2,-0.67025479891824,0.0915614
A6PVW9;Q13228;B4DPI7;A6PVX1;H0Y532;Q9H8A8;F8WCR4;F2Z2W8;C9JVL0;F8WBA9,SELENBP1,-0.78594364034391,0.0648881
Q9Y289;B4DDE5;B3KNM2;Q8NC18;Q659F8;E7EMX0;E7ENN0;E7EW78;E7ENG0;E7ERE1;E7EW41,SLC5A6,-0.73491730547985,0.0500407
P36639,NUDT1,-1.16914682777211,0.00144343
A8K2U2;P52789;E9PB90;Q68E10;Q53QX9;Q53SG7;Q09LL6;Q59H08;P52790;Q7Z7Q6,HK2;HK3,-1.0463097276765,0.00452511
Q9H0Z9;H0UI71;A6NG75;F6VZ39;A8KAI7;Q9BX46;H0Y8S7;H0YA61,RBM24;RBM38,-0.63937286294152,0.176078
Q9BXB5;B3KUL5;Q9NX98;H7C487;Q59ED9,OSBPL10,-0.79172626243681,0.10064
Q9NVM4;H3BNC0;H3BPZ8;H3BSS9,PRMT7,0.94611493742082,0.164993
B4DF33;E9PBQ3;A8K610;Q53EQ5;Q8N511;J3KS81;J3KRW7,TMEM199,-0.79949523673536,0.0461961
Q9NSI2;C9JJU7,FAM207A,-0.69555876229263,0.144425
Q9NUQ8;B4DRU9;F8WCU6,ABCF3,-0.73530599745549,0.0935649
Q9Y653;B3KQN7;B3KQV4;B4DM06;F5H144;H3BRH0;H3BSJ6;H3BV52;H3BNH4;H3BP67;H3BQ46;H3BUU6;H3BVD3;H3BQZ1;H3BRI7;H3BTH7;H3BMY9;H3BVA0;H3BRZ4;H3BS94;H3BM73;H3BUH2;H3BMF8;H3BRI2;H3BSB8;H3BUI6;H3BT88;H3BRA1;H3BV72;H3BSN7;H3BSP5;H3BTK9;H3BPA6;H3BNN3;H3BQJ9;H3BVE9;H3BSR1;H3BRB4;H3BTD2;H3BQW4,GPR56,-0.6342895362296,0.178392
Q58FF8,HSP90AB2P,-0.66660530150994,0.0909018
Q3KQZ1,SLC25A35,-1.21955411510276,0.0288388
B3KMJ2;O95361;Q59EB2;H0Y626;B2RB95;B3KP96;B4DE22;J3KPT5;Q309B1;K7ENN8;I3L2F3;I3L3K9;K7EL43;J3QKY5,CDRT1;TRIM16;TRIM16L,-1.07185343168012,0.0346927
Q9H2J4;B7Z6S0;H7BZP2;C9JST4,PDCL3,-0.77351575330215,0.0777095
Q9BW83;E9PE51;F5GZ09;H0Y6C7;I7FU17;B1AH58;B1AH56,IFT27,-0.60114601244225,0.192084
Q9C0D3;A8DPD7;B3KTI5;B4DK95,ZYG11B,0.7965786416249,0.186137
Q96HJ9,C7orf55;C7orf55-LUC7L2,1.7675411223247,0.000441843
O95229;B4DP12;A6NH27,ZWINT,-0.7199676317797,0.0551697
A4QPA9;Q02750;B4DFY5;H3BRW9,MAP2K1,-0.92977562472486,0.0334804
Q96EA4;B4E393;H0YBG5,SPDL1,-0.8868268405687,0.095809
B2RDT8;Q9Y5X2;C9J271;C9J014;C9J8E6;C9JCB9;C9IYC5,SNX8,-0.62028238640335,0.178615
P46060;B4DY16;F8W7I9;B4E0U0;H0Y4Q3;Q9BSK3;B0QYT4;B0QYT5;Q8WUS7;B0QYT6,RANGAP1,-0.77271761854892,0.0461831
P54709;D3DNF9;B7Z1N7;C9JA36;Q58I18;C9JXZ1;C9J6S2;F8WBY4;H7C547;H7C4L9,ATP1B3,-0.67988667977664,0.147138
Q96TA1,FAM129B,-0.74049858880235,0.0572049
P46013;Q70L73,MKI67,-0.70460033416081,0.139789
J3KRM1;Q9C0H9;F5H376,SRCIN1,-0.72884143028782,0.061717
Q9NRF9,POLE3,-0.97917361085888,0.0250434
G3V5T9;P24941;E7ESI2;B4DDL9;Q00526;K7EJ83,CDK2;CDK3,-0.51559099031196,0.180148
Q15172,PPP2R5A,-1.05517845206763,0.0235445
Q14676;B4DYH4;H0Y6Z8;A1Z5I6;A1Z5I7;A2AB05;B4DQD0;A1Z5I8;A2AB07;A2AB06,MDC1,-1.07849557251219,0.00339002
Q13526;K7EN45;B3KUM4;K7EMU7;Q49AR7,PIN1,-0.67459671942595,0.0896182
Q9BRR6;B4DG35;B4DDP8;H3BRS6;H3BU35;Q69YR1;H3BN66;H3BTH4,ADPGK,-0.71089324432331,0.0745057
Q8N9U0;H0YJ73,TC2N,-0.56811198859747,0.197666
Q9NRR8,CDC42SE1,-1.18321858079451,0.0205503
B3KMS0;Q15021;B3KY03;B4E0B7;F5GZJ1;Q6ZV00;E7EN77;A0PJ76;F5GZK7;F5H431,NCAPD2,-0.79159151927421,0.0714095
Q7Z2W4;C9J6P4;A8K9U6;Q05DV5;H7C5K1,ZC3HAV1,-0.84197701085031,0.0688528
B4DHC2;B3KX45,SRCIN1,-0.69209626735071,0.00378822
P19440;E7ET76;A6NGU5;B5MCK8;P36268;B5MC34;Q6NZY2;A2VCM7;E7ETR7;D3DW46;J3KR28;B5MD39;Q6ISU8;Q9BX51;B5MC36;Q14390;Q9UEN8,GGT1;GGT2;GGT3P;GGTLC1;GGTLC2;GGTLC3,-0.91899155464866,0.0356189
Q8IUI8;B4DJU5,CRLF3,-0.64556965076376,0.103388
K7EJ46,SMIM22,-1.04606861544382,0.00378822
A8K8B0;P30154;B7Z1G3;J3KR29;H0YDG7,PPP2R1B,-0.57708346166531,0.142592
Q8N6M0;B4DEY0;H0YB21,OTUD6B,-0.91531683274116,0.023317
A5PLL7;Q5TGE1;Q5TGE2,TMEM189;TMEM189-UBE2V1,-1.00331192881667,0.0470272
Q9UJC3;A8MU44;Q32Q39;B1AK95,HOOK1,-0.87707256400916,0.018216
B4DLM8;O15381;H0Y8B6;B4DQJ4;F8W938;E7ERY0,NVL,-0.75349681201485,0.116575
Q6IB68;Q99417,MYCBP,-0.84023399379537,0.0559258
A8K9B9;Q9H223,EHD4,-0.72755198564651,0.0915203
Q9P0S3;Q53FV1;B9A069,ORMDL1;ORMDL2,-0.72349775153674,0.140843
P48507;D3DT44;M5A959,GCLM,-0.76099613283901,0.123203
Q9Y613;B4DVN5;H3BVE7;B4E2D9;B4E2Z4,FHOD1,-0.66031769566927,0.133135
D6W4K3;O43156;Q3B768;A3KMG5,TTI1,-0.60842593968734,0.186877
B2RC01;P07992;B3KRR0;K7ES46;K7EJW9,ERCC1,-1.19716120394171,0.0315021
P09467;Q5VZC3,FBP1,1.71219617268482,1.44578e-5
P04792;B4DL87;F8WE04;C9J3N8,HSPB1,-0.82333181794722,0.0324968
Q9H773;H3BSA6;H3BPN2,DCTPP1,-0.92747910590736,0.043971
Q71RC2;Q96J85;Q6P4E2;Q8WVX5;F8VY40;Q8TBL5;F8W1I4,LARP4,-1.12918328999607,0.00964576
O75717;A8KAE0;C9JW18;B3KMD2;B3KMC2;F8W7P7;Q05DR3;B3KMD9;C9JYB3;H3BSQ1,WDHD1,-0.68726269301972,0.117721
F8VV59;F8W118;F8VRJ2,NAP1L1,1.44020178734969,0.00427435
Q9NQT4;B2RC50;M0R050;M0R102;M0R289,EXOSC5,-0.5239609328036,0.180151
Q9BTT0;Q53F20;E9PPH5;E9PLC4;B4E0D5;Q5TB19,ANP32E,-0.61199049851163,0.161219
B2ZZ90;Q13085;Q59FY4;Q7Z5W8;K4DID9;B4DWK9;B4DIR2;B4DIW1;B4DIG6;B4DK31;K7EK64;O00763;F8W8T8;K7EPF1;Q59GJ9;B4DYM0;D3YTK0;H0YGH5;F6QQI9;Q4G170;S4R3S7;K7EJ22;K7EII5;B4DYJ7;K7EMF7;A8MYL5,ACACA;ACACB,-0.80132533710547,0.0379488
A8K099;B4DM81;P31321;H7BYW5;C9JSK5;Q6NS41,PRKAR1B,-0.73958853512829,0.11021
Q969Y2;Q96H44;M0R0S9;B7Z563;M0R1X0,GTPBP3,-0.67180398516002,0.145971
Q9Y6A5;Q2NKK4;B4DYJ1;B4E355;C9JA91;E7EMT0;C9JWI7;Q8IX09;H0Y8F2;F8WC55,TACC3,-1.14510497037743,0.00490607
Q8IWJ2;D3DX70;B8ZZW2;B3KR21;A0PJA5;H7BYJ9;B8ZZA5;U3KPU4;U3KQE0,GCC2,-0.76429764702844,0.121737
Q9Y618;C9JFD3;C9J0Q5;C9J239;C9JE98;C9J7T7;C9JQE8;Q9BT61;C9J330;H0YGK8;H7C2D4;H7C1Y3;C9JNV9;H7C0P3,NCOR2,-0.72890593278223,0.0963997
Q16342;F5H4V9;E9PCU7;J3QK82;F5GYS7;F5GWT2;Q6NW24,PDCD2,1.61389866750567,0.0106901
Q9UJA5;B4DUV6,TRMT6,-0.88014951315847,0.017804
Q13889;B4DNZ6;F5GWD3;H0YFF7,GTF2H3,0.87143376921006,0.177817
Q9BZK3,NACAP1,-0.6708742738047,0.157753
A8K0I0;Q13356;H7C2D2;B4DRD4;E7EW80,PPIL2,-0.7498926118596,0.128235
M0R2B7;P28340;Q308M6;Q59FA0;M0QZR8;M0QXE6;M0R3H8;M0QXQ2;M0R2I8;M0QZB4,POLD1,-0.63042851182018,0.0960122
P00390;H0YBD4;Q03504;E5RI06;H0YC68,GSR,-0.60108697632804,0.132692
A8K9A5;P04818;Q53FB7;Q53Y97,TYMS,-1.63719210079165,0.000474193
B4E1G6;P51570;Q6ZP37;Q71UH7;C8CHJ6;K7EII7;B4E1A8;K7ERJ9,GALK1,-0.54561191346649,0.154151
Q9BTE1;H3BR94;B4DS97;H3BS05;H3BUD2,DCTN5,2.45376306356437,1.15052e-8
B2RDE1;Q5HYB6;Q5VU59,TPM3,-0.7009895563059,0.106295
Q9Y2J8;B4DIU3;Q96DA7;Q6ZWF8,PADI2,-0.8821566416321,0.0559968
A4F1W8;A8K4N4;Q15025;A4F1W9;A4F1Y0;B7Z8K2;E7ET96;Q05KP4;E7EPY1;Q05KP3;B7Z5B0;A4F1X4;A4F1X7;A4F1X5;A4F1X9;A4F1X6;E7EMV7;H0YC17;E7EW68;E7EWG2,TNIP1,-0.64477838250085,0.162465
B0QYD3;Q9UH17;B2CML4;Q96AK3;Q6ICH2;P31941;B7ZLZ1,APOBEC3A;APOBEC3A_B;APOBEC3B;APOBEC3D,-1.04502426116309,0.0391536
O14548;Q6FGA0;H0YBD2;E5RJZ1,COX7A2L,-0.69234780514942,0.146154
P14324;Q14329;B3KMW3,FDPS,-0.6189668225677,0.163922
H7C1E4;P61966,AP1S1,-0.73867905515525,0.0920864
Q9Y3Q8;Q8IV54;A8MWR6;H7BZ77,TSC22D4,-0.67230007630298,0.145678
Q86SQ4;B4DSK4,GPR126,1.36783832181882,0.070935
P14635;Q5TZP9;A8K066;H1UBN2;E9PC90;D6RHI0;H0YA62;Q9BPX9;Q9BWU7;Q9BWU9;Q9BWV0;Q9BWU8,CCNB1,-1.05801179060034,0.0231832
A8KAG0;O75190;B4DVN1;B4DNN5;B4DMJ9;E9PH18;B4DN73;A7UJ17;C9J2C4;B4DNF1;C9J2P2;F8WCZ4;C9JDX6;C9JDR7;C9JB42;C9JN01;Q7Z6W7;Q8WWF6;Q75MP3,DNAJB3;DNAJB6;DNAJB7,-0.64922729247842,0.159685
P35237;Q8IXH2,SERPINB6,-0.64745827442689,0.141689
B4E3T4;Q93062;D3DSV0;F5H357;Q569H2;E5RJ31;H0YBU9;E5RFP4;H0YC46;E5RJD7,RBPMS,-0.7238191002497,0.0696645
B5BU78;Q93096;Q5TCM7,PTP4A1,-1.04438195716633,0.0339223
Q9UNF0;Q6FIA3;B0QYG8;B0QYG7;H0Y923,PACSIN2,-0.65271066247867,0.165233
Q9HAV4;A8K5Y7;B3KPQ5;B3KNC6;Q9H8N6;E2QRM3;H0Y3W3;H0Y9I3;H0Y3Q8,XPO5,-0.87407349384791,0.0186364
Q9NQW6;A8K5D9;C9JJT6,ANLN,-1.11091144629754,0.0118244
O00148;B4DX78;B1Q2N1;K7EQN7;K7EPJ3;Q69YT6,DDX39A,-0.70155907866643,0.105942
B2R7N6;P43007;Q53F03;Q9P2X2;B7Z561;B7Z9M1,SLC1A4,-0.67453459989523,0.150604
